io	variableGroup	variableName	uri	valueType	allowedVariableValues
input	Phenotype	bipolar disorder	TBD	Number	1
input	Phenotype	coronary artery disease	TBD	Number	1
input	Phenotype	major depressive disorder	TBD	Number	1
input	Phenotype	schizophrenia	TBD	Number	1
input	Phenotype	type-2 diabetes	TBD	Number	1
output	Variant	1_2232532_G_A	TBD	Number	1
output	Variant	1_2234251_A_G	TBD	Number	1
output	Variant	1_2236697_A_G	TBD	Number	1
output	Variant	1_2240006_T_C	TBD	Number	1
output	Variant	1_2245221_C_T	TBD	Number	1
output	Variant	1_2245439_T_C	TBD	Number	1
output	Variant	1_2245570_C_G	TBD	Number	1
output	Variant	1_2245633_C_T	TBD	Number	1
output	Variant	1_2246513_A_G	TBD	Number	1
output	Variant	1_2247399_T_C	TBD	Number	1
output	Variant	1_2247487_A_G	TBD	Number	1
output	Variant	1_2247985_T_C	TBD	Number	1
output	Variant	1_2883858_C_T	TBD	Number	1
output	Variant	1_3325912_C_A	TBD	Number	1
output	Variant	1_8422676_T_C	TBD	Number	1
output	Variant	1_8423510_A_G	TBD	Number	1
output	Variant	1_8432136_C_T	TBD	Number	1
output	Variant	1_8436802_C_T	TBD	Number	1
output	Variant	1_8439625_C_A	TBD	Number	1
output	Variant	1_8445360_C_T	TBD	Number	1
output	Variant	1_8467353_G_A	TBD	Number	1
output	Variant	1_8469337_A_G	TBD	Number	1
output	Variant	1_8473336_G_A	TBD	Number	1
output	Variant	1_8488565_A_G	TBD	Number	1
output	Variant	1_8490320_T_G	TBD	Number	1
output	Variant	1_8495590_A_G	TBD	Number	1
output	Variant	1_8495945_T_C	TBD	Number	1
output	Variant	1_9228624_T_C	TBD	Number	1
output	Variant	1_14590918_T_G	TBD	Number	1
output	Variant	1_14591599_A_G	TBD	Number	1
output	Variant	1_14592705_C_T	TBD	Number	1
output	Variant	1_14594575_A_G	TBD	Number	1
output	Variant	1_14600852_C_G	TBD	Number	1
output	Variant	1_14601677_T_G	TBD	Number	1
output	Variant	1_14602646_C_T	TBD	Number	1
output	Variant	1_14604302_T_C	TBD	Number	1
output	Variant	1_14604519_A_G	TBD	Number	1
output	Variant	1_14612626_T_C	TBD	Number	1
output	Variant	1_14615321_T_C	TBD	Number	1
output	Variant	1_14617774_C_T	TBD	Number	1
output	Variant	1_14620817_G_C	TBD	Number	1
output	Variant	1_14622490_G_C	TBD	Number	1
output	Variant	1_14623956_C_T	TBD	Number	1
output	Variant	1_14947920_T_C	TBD	Number	1
output	Variant	1_22132518_G_A	TBD	Number	1
output	Variant	1_22307340_C_T	TBD	Number	1
output	Variant	1_22307358_C_G	TBD	Number	1
output	Variant	1_22308853_C_T	TBD	Number	1
output	Variant	1_22309867_T_A	TBD	Number	1
output	Variant	1_22309874_T_A	TBD	Number	1
output	Variant	1_22310674_C_T	TBD	Number	1
output	Variant	1_22311240_G_C	TBD	Number	1
output	Variant	1_22345093_A_G	TBD	Number	1
output	Variant	1_22345647_C_T	TBD	Number	1
output	Variant	1_26290480_G_C	TBD	Number	1
output	Variant	1_30410502_A_C	TBD	Number	1
output	Variant	1_30414182_T_G	TBD	Number	1
output	Variant	1_30415026_G_A	TBD	Number	1
output	Variant	1_30422596_A_G	TBD	Number	1
output	Variant	1_30426014_C_T	TBD	Number	1
output	Variant	1_30430366_T_G	TBD	Number	1
output	Variant	1_30431560_G_A	TBD	Number	1
output	Variant	1_30432219_T_C	TBD	Number	1
output	Variant	1_30437268_A_G	TBD	Number	1
output	Variant	1_30438360_G_T	TBD	Number	1
output	Variant	1_30438738_C_T	TBD	Number	1
output	Variant	1_30439760_A_G	TBD	Number	1
output	Variant	1_30439905_A_T	TBD	Number	1
output	Variant	1_30439988_A_G	TBD	Number	1
output	Variant	1_30444484_A_G	TBD	Number	1
output	Variant	1_30445050_T_C	TBD	Number	1
output	Variant	1_30449982_G_A	TBD	Number	1
output	Variant	1_30450466_G_A	TBD	Number	1
output	Variant	1_30451357_A_C	TBD	Number	1
output	Variant	1_30451485_C_T	TBD	Number	1
output	Variant	1_30455452_T_C	TBD	Number	1
