A1BG	19	58858166	58864915	
A1CF	10	52566272	52645485	
A2M	12	9220258	9268803	
A2ML1	12	8975018	9029431	
A4GALT	22	43088077	43091689	
A4GNT	3	137842510	137851279	
AAAS	12	53701190	53718592	
AACS	12	125549875	125627923	
AADAC	3	151531775	151546322	
AADACL2	3	151451665	151475604	
AADACL3	1	12776068	12788776	
AADACL4	1	12704516	12727147	
AAGAB	15	67493321	67547583	
AAK1	2	69686364	69870899	
AAMP	2	219128800	219135030	
AANAT	17	74449383	74466249	
AARS	16	70286148	70323496	
AARS2	6	44267341	44281113	
AARSD1	17	41102513	41116543	
AASDH	4	57204406	57253716	
AASDHPPT	11	105948166	105969487	
AASS	7	121716137	121784384	
AATF	17	35306125	35414221	
AATK	17	79091045	79139867	
ABAT	16	8768372	8878482	
ABCA1	9	107543233	107690568	
ABCA10	17	67144098	67241037	
ABCA12	2	215796216	216003201	
ABCA13	7	48211007	48687142	
ABCA2	9	139901636	139922790	
ABCA3	16	2325832	2390797	
ABCA4	1	94458343	94586738	
ABCA5	17	67240402	67323373	
ABCA6	17	67074793	67138079	
ABCA7	19	1040052	1065618	
ABCA8	17	66863383	66951542	
ABCA9	17	66970579	67057255	
ABCB1	7	87133125	87342614	
ABCB10	1	229652279	229694492	
ABCB11	2	169779398	169887882	
ABCB4	7	87031311	87105105	
ABCB5	7	20654780	20796682	
ABCB6	2	220074440	220083762	
ABCB8	7	150725460	150744919	
ABCB9	12	123405448	123466246	
ABCC1	16	16043384	16236981	
ABCC10	6	43395242	43418218	
ABCC11	16	48200771	48281529	
ABCC12	16	48116834	48180731	
ABCC2	10	101542439	101611999	
ABCC3	17	48712088	48769663	
ABCC4	13	95672033	95953737	
ABCC5	3	183637672	183735853	
ABCC6	16	16242735	16317374	
ABCC8	11	17414382	17498499	
ABCC9	12	21950285	22094386	
ABCD2	12	39943785	40013603	
ABCD3	1	94883883	94984269	
ABCD4	14	74752076	74769809	
ABCF1	6	30539103	30559359	
ABCF2	7	150904873	150924366	
ABCF3	3	183903761	183911845	
ABCG1	21	43619749	43717404	
ABCG2	4	89011366	89152524	
ABCG4	11	119019672	119033410	
ABCG5	2	44039561	44066008	
ABCG8	2	44066053	44105655	
ABHD1	2	27346653	27353730	
ABHD10	3	111697807	111712260	
ABHD11	7	73150374	73153247	
ABHD12	20	25275329	25371669	
ABHD12B	14	51338828	51371738	
ABHD14A	3	52009034	52015262	
ABHD14B	3	52002476	52017475	
ABHD15	17	27887515	27894205	
ABHD16B	20	62492516	62494391	
ABHD2	15	89631331	89745641	
ABHD3	18	19230808	19284816	
ABHD4	14	23067096	23081315	
ABHD5	3	43732312	43760591	
ABHD6	3	58223183	58280511	
ABHD8	19	17402890	17414332	
ABI2	2	204192892	204296946	
ABI3	17	47287539	47300637	
ABI3BP	3	100467950	100712409	
ABL2	1	179068412	179198869	
ABLIM1	10	116190822	116444812	
ABLIM2	4	7966989	8160609	
ABLIM3	5	148520996	148640155	
ABR	17	906708	1090666	
ABRA	8	107771661	107782523	
ABT1	6	26597130	26600328	
ABTB1	3	127391731	127399818	
ABTB2	11	34172485	34379605	
ACAA1	3	38164151	38178783	
ACAA2	18	47309819	47340380	
ACACA	17	35441873	35766921	
ACACB	12	109554350	109706081	
ACAD10	12	112123807	112194953	
ACAD11	3	132276932	132379617	
ACAD8	11	134123339	134135799	
ACAD9	3	128598404	128632007	
ACADL	2	211052613	211090265	
ACADM	1	76189986	76229414	
ACADS	12	121163488	121177861	
ACADSB	10	124768445	124817877	
ACADVL	17	7120394	7128642	
ACAN	15	89346624	89418635	
ACAP1	17	7239798	7254847	
ACAP2	3	194995415	195163857	
ACAT1	11	107992193	108018553	
ACAT2	6	160181310	160200194	
ACBD3	1	226332330	226374481	
ACBD4	17	43209917	43221598	
ACBD5	10	27484096	27531109	
ACBD6	1	180257315	180472139	
ACBD7	10	15119472	15130825	
ACCS	11	44087768	44105814	
ACCSL	11	44069481	44081577	
ACD	16	67691365	67694763	
ACE	17	61554372	61599255	
ACER1	19	6306103	6333690	
ACER2	9	19408875	19452068	
ACIN1	14	23527723	23564873	
ACLY	17	40023111	40075325	
ACMSD	2	135596067	135659654	
ACN9	7	96745852	96811125	
ACO1	9	32384568	32450884	
ACO2	22	41865079	41925043	
ACOT11	1	55013851	55104915	
ACOT12	5	80625774	80690048	
