Symbol	GeneID
A1BG	1
A2M	2
NAT1	9
NAT2	10
SERPINA3	12
AADAC	13
AAMP	14
AANAT	15
AARS	16
ABAT	18
ABCA1	19
ABCA2	20
ABCA3	21
ABCB7	22
ABCF1	23
ABCA4	24
ABL1	25
ABL2	27
ABR	29
ACAA1	30
ACACA	31
ACACB	32
ACADL	33
ACADM	34
ACADS	35
ACADSB	36
ACADVL	37
ACAT1	38
ACAT2	39
ASIC2	40
ASIC1	41
ACHE	43
ACLY	47
ACO1	48
ACR	49
ACO2	50
ACOX1	51
ACP1	52
ACP2	53
ACP5	54
ACPP	55
ACRV1	56
ACTA1	58
ACTA2	59
ACTB	60
ACTC1	70
ACTG1	71
ACTG2	72
ACTN4	81
ACTL6A	86
ACTN1	87
ACTN2	88
ACVR1	90
ACVR1B	91
ACVR2A	92
ACVR2B	93
ACVRL1	94
ACY1	95
ACYP1	97
ACYP2	98
ADA	100
ADAM8	101
ADAM10	102
ADAR	103
ADARB1	104
ADARB2	105
ADCY1	107
ADCY2	108
ADCY3	109
ADCY5	111
ADCY6	112
ADCY7	113
ADCY8	114
ADCY9	115
ADCYAP1	116
ADCYAP1R1	117
ADD1	118
ADD2	119
ADD3	120
PLIN2	123
ADH1A	124
ADH1B	125
ADH4	127
ADH5	128
ADH6	130
ADH7	131
ADK	132
ADM	133
ADORA1	134
ADORA2A	135
ADORA2B	136
ADORA3	140
ADPRH	141
PARP1	142
PARP4	143
ADRA1D	146
ADRA1B	147
ADRA1A	148
ADRA2A	150
ADRA2B	151
ADRA2C	152
ADRB1	153
ADRB2	154
ADRB3	155
ADRBK1	156
ADRBK2	157
ADSL	158
ADSS	159
AP2A1	160
AP2A2	161
AP1B1	162
AP2B1	163
AP1G1	164
AEBP1	165
AES	166
CRISP1	167
AFM	173
AFP	174
AGA	175
ACAN	176
AGER	177
AGL	178
AGRP	181
JAG1	182
AGT	183
AGTR1	185
AGTR2	186
APLNR	187
AGXT	189
NR0B1	190
AHCY	191
AHR	196
AHSG	197
AIF1	199
AK1	203
AK2	204
AK4	205
AKT1	207
AKT2	208
